chip_id,type,rationale,continent,lat,lon,panel_frac,dice,recall,precision,gt_px,pred_px,frac_year_2024,poly_total_area_m2,poly_2024_area_m2,n_polys,min_year,max_year,in_b4,in_b8,in_b11,in_ndvi,in_n
c-003040_r-001222,C,"F=0.65, R=0.72, in_b11=1195 (between 3330-3583)",S_America,-27.028556822850778,-69.8989902356809,0.5051,0.8304,0.7191,0.9826,33048,24187,0.6482,3310036,2145513,2,2017.0,2024.0,1149.7,1193.1,1195.4,0.0185,33048
c-003078_r-001291,A,in_b11=2853<3330 (panel-like) AND R=0.22<0.70,S_America,-28.43303411204923,-70.77287134407237,0.4297,0.3631,0.2228,0.9812,28170,6395,1.0000,2816246,2816246,3,2024.0,2024.0,1904.3,2140.1,2852.6,0.0583,28170
c+004221_r+001754,C,"F=1.00, R=0.20, in_b11=3920 (between 3330-3583)",Asia,37.37509529975219,97.08129208091032,0.6552,0.3334,0.2004,0.9915,42954,8682,1.0000,4294051,4294051,1,2024.0,2024.0,2678.1,2941.8,3920.4,0.0469,42954
c+003412_r+001893,A,in_b11=3209<3330 (panel-like) AND R=0.50<0.70,Asia,39.872006444951424,78.47682322068138,0.783,0.6622,0.4957,0.9971,51311,25512,0.0000,5131225,0,1,2023.0,2023.0,2316.7,2454.5,3208.8,0.0289,51311
c+006519_r-001492,A,in_b11=2679<3330 (panel-like) AND R=0.63<0.70,Oceania,-32.417502845235816,149.92810226732084,0.4249,0.7733,0.6305,0.9997,27835,17555,0.7437,2784534,2070898,3,2021.0,2024.0,1076.3,1688.9,2678.7,0.2215,27835
c-004849_r+001514,C,"F=0.00, R=0.77, in_b11=3879 (between 3330-3583)",N_America,32.86289744575302,-111.5003303693696,0.5197,0.8051,0.7673,0.8469,34102,30896,0.0000,3406356,0,5,2017.0,2022.0,2722.7,3298.8,3878.6,0.0957,34102
c+004374_r+001686,A,in_b11=2797<3330 (panel-like) AND R=0.60<0.70,Asia,36.12213500260671,100.59981338574968,0.5133,0.7275,0.6,0.9237,33630,21844,0.0000,3364165,0,1,2023.0,2024.0,1623.7,2073.6,2797.2,0.1217,33630
c+004373_r+001690,A,in_b11=2998<3330 (panel-like) AND R=0.50<0.70,Asia,36.196403843846895,100.5768165144762,0.5963,0.6657,0.4989,1.0,39077,19495,1.0000,3908223,3908223,1,2023.0,2024.0,1857.6,2316.5,2997.6,0.1099,39077
c-004849_r+001515,C,"F=0.64, R=0.64, in_b11=3631 (between 3330-3583)",N_America,32.88221205677633,-111.5003303693696,0.4635,0.7336,0.6425,0.8547,30378,22838,0.6414,3037550,1948301,6,2017.0,2024.0,2010.0,2789.7,3631.0,0.1625,30378
c+004361_r+001682,C,"F=1.00, R=0.71, in_b11=3593 (between 3330-3583)",Asia,36.04779583662296,100.30085405919468,0.8779,0.8262,0.7055,0.9968,57562,40739,1.0000,5753591,5753591,1,2024.0,2024.0,1813.1,2404.2,3592.9,0.1401,57562
c-005214_r+001692,C,"F=0.47, R=0.71, in_b11=3074 (between 3330-3583)",N_America,36.23351187449775,-119.8941883841824,0.6039,0.8244,0.7099,0.983,39563,28573,0.4747,3957502,1878759,4,2018.0,2024.0,1587.6,1976.9,3073.6,0.1092,39563
c+004909_r+001900,A,in_b11=2310<3330 (panel-like) AND R=0.38<0.70,Asia,39.99544237527199,112.90313951705065,0.7385,0.5511,0.3839,0.976,48384,19032,0.0000,4839661,0,3,2018.0,2021.0,1112.0,1800.7,2310.1,0.2365,48384
c-004853_r+001512,A,in_b11=3169<3330 (panel-like) AND R=0.52<0.70,N_America,32.8242556036624,-111.59231785446345,0.4394,0.6835,0.5241,0.9822,28808,15373,0.0000,2879968,0,1,2023.0,2023.0,2043.6,2551.8,3168.9,0.1106,28808
c-005156_r+001617,C,"F=0.00, R=0.68, in_b11=4256 (between 3330-3583)",N_America,34.829979690137506,-118.56036985032172,0.4165,0.7766,0.6758,0.9126,27275,20198,0.0000,2729606,0,3,2017.0,2023.0,2189.9,2884.3,4255.7,0.1368,27275
c+004440_r+001821,C,"F=0.00, R=0.42, in_b11=3570 (between 3330-3583)",Asia,38.58949728285147,102.117606889798,0.7418,0.5896,0.4191,0.994,48605,20494,0.0000,4861752,0,3,2017.0,2023.0,2452.6,2664.0,3570.0,0.0413,48605
c+004769_r+001833,A,in_b11=2780<3330 (panel-like) AND R=0.00<0.70,Asia,38.80487495828355,109.68357753876626,0.6455,0.0,0.0,0.0,42304,0,0.0000,4230136,0,1,2017.0,2017.0,1501.0,1846.6,2779.6,0.1032,42304
c+003462_r+001933,C,"F=0.00, R=0.19, in_b11=3427 (between 3330-3583)",Asia,40.574352255546046,79.62666678435438,0.5426,0.3241,0.1934,0.9987,35564,6888,0.0000,3556307,0,1,2017.0,2023.0,2013.7,2151.4,3426.9,0.0331,35564
c+003190_r+001283,C,"F=0.00, R=0.73, in_b11=3239 (between 3330-3583)",Asia,28.291379541492,73.37151779797333,0.4717,0.8429,0.7286,0.9996,30897,22520,0.0000,3091139,0,1,2020.0,2020.0,1971.6,2186.3,3238.6,0.0516,30897
c-004991_r+001708,A,in_b11=2304<3330 (panel-like) AND R=0.68<0.70,N_America,36.52974181412333,-114.76588609020088,0.486,0.8077,0.6832,0.9875,31904,22074,0.0000,3185068,0,4,2017.0,2017.0,1593.1,1744.0,2303.8,0.0452,31904
c+004586_r+001160,A,in_b11=2611<3330 (panel-like) AND R=0.66<0.70,Asia,25.772085254087223,105.47515009572314,0.5064,0.7883,0.6622,0.9738,33156,22545,0.0000,3318782,0,6,2021.0,2023.0,926.4,2271.1,2610.8,0.4206,33156
c+004371_r+001681,C,"F=0.00, R=0.72, in_b11=2707 (between 3330-3583)",Asia,36.029200063749805,100.53082277192928,0.8872,0.8353,0.7232,0.9885,58113,42517,0.0000,5814407,0,1,2023.0,2023.0,1449.5,1903.4,2706.8,0.1354,58113
